Title,Definition,Source
Adopting from overseas ,"The law on adoption is different depending on which country you're adopting from. Some countries may not allow adoption by a same-sex couple, even if you are civil partners. If you want to adopt from outside the UK, you will need advice from an expert on overseas adoption.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Adoption,"Two civil partners or a couple living together can jointly adopt a child. You may choose legally to adopt your partner’s child. If you are in a civil partnership, this procedure will be straightforward and not involve an agency, as long as the applicant has lived with the child for at least six months. If you're not in a civil partnership, the procedure is likely to take longer.",https://www.citizensadvice.org.uk/family/children-and-young-people/young-people-and-family/
Armed forces pensions  ,"If you are claiming a War Pension, or claiming a War Widow(er) pension and you are moving abroad, you should get advice on your pension. You can get advice from Veterans UK. Their contact details are:",https://www.citizensadvice.org.uk/benefits/armed-forces-and-veterans/benefits-and-concessions-for-the-armed-forces-veterans-and-their-families/
Bankruptcy,"You might be able to declare yourself bankrupt if you can't pay your debts and the amount you owe is more than the value of the things you own. The bankruptcy period usually lasts 12 months. If you go bankrupt, most of your creditors won’t be able to contact you about your debts or take you to court.",https://www.citizensadvice.org.uk/debt-and-money/debt-solutions/bankruptcy/before-you-go-bankrupt/check-if-going-bankrupt-is-right-for-you/
Beneficial joint tenants  ,"If you own your property as a beneficial joint tenant, this means that it belongs to you and the other owner(s) jointly. You can't re-mortgage or sell the property without the agreement of all the other owner(s). However if there is a dispute, an owner can apply for a court order. As a beneficial joint tenant, you don't own specific shares in the property and you can't give away a share of the property in a will. If you die, your interest in the property passes automatically to the other owner(s).",https://www.citizensadvice.org.uk/housing/buying-and-selling-a-home/buying-a-home/
Benefit fraud  ,"It could be benefit fraud if your Carer’s Allowance is affected because you: Your circumstances can be checked at any time while you are claiming and fraud officers can also get information about you from other government agencies and from your employer, bank or utility companies. Benefit fraud is a criminal offence and you can be prosecuted or asked to pay a penalty. If you are being investigated for benefit fraud, your benefit will be suspended. If you committed benefit fraud, your benefit can be reduced or stopped in the future.",https://www.citizensadvice.org.uk/benefits/sick-or-disabled-people-and-carers/carers-allowance/
Benefits abroad  ,"If you are a veteran living abroad, or you are serving in the armed forces abroad, you and your dependants may still be able to claim some benefits in the UK. You may be able to claim: If you are refused a benefit you think you should get,you can contact the Royal British Legion for help to appeal for overseas support.",https://www.citizensadvice.org.uk/benefits/armed-forces-and-veterans/benefits-and-concessions-for-the-armed-forces-veterans-and-their-families/
Benefits and civil partnerships  ,"If you are civil partners, the money you have coming in and your financial needs are looked at jointly when deciding if you are entitled to means-tested benefits. Entitlement to some benefits depends on whether or not you have paid enough national insurance contributions. These benefits include: You can claim bereavement benefits or, in some cases, a retirement pension, based on your partner’s national insurance contributions.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Benefits in the UK  ,"Veterans, people serving in the armed forces and their dependants may be able to claim a range of benefits in the UK. These include: You can use a benefit calculator tocheck what benefits you can get. You’ll need to know details about your: Work out what benefits you might get using a calculator.",https://www.citizensadvice.org.uk/benefits/armed-forces-and-veterans/benefits-and-concessions-for-the-armed-forces-veterans-and-their-families/
Bereavement benefits,"Bereavement benefits are payments made by the Department for Work and Pensions to widows and widowers or to a surviving civil partner. For more information about bereavement benefits, seeExtra money you can get when someone dies.",https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
Bigamy  ,"If you marry in the United Kingdom and are already legally married, the marriage will be bigamous and therefore is void. Although it is a criminal offence to marry someone when you are already married, prosecution is not automatic.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Blessing ceremonies  ,"Even if you are not allowed to marry in a religious ceremony, for example, because you belong to a religion that does not permit marriage of people who are divorced, it may be possible to arrange for your relationship to be blessed in a religious ceremony. This is at the discretion of the religious official concerned.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Blue Badge Scheme  ,"You may be eligible for a Blue Badge if you are a disabled veteran or a member of the armed forces. If you are currently in the armed forces and are no longer resident the UK, you or a member of your household can apply to the Ministry of Defence for a blue badge. If you've kept your UK residency, you should apply to your local authority. For more information about the war disablement pension, seePension and compensation schemes for the armed forces, veterans and their families.",https://www.citizensadvice.org.uk/benefits/armed-forces-and-veterans/benefits-and-concessions-for-the-armed-forces-veterans-and-their-families/
